,pce,실업률
2015-08-01,1.2212546279397163,5.1
2015-09-01,1.2321248164310905,5.0
2015-10-01,1.1779886779886617,5.0
2015-11-01,1.1967020513407034,5.1
2015-12-01,1.191700692994213,5.0
2016-01-01,1.4062402560957699,4.8
2016-02-01,1.4658859681907055,4.9
2016-03-01,1.4574479112677619,5.0
2016-04-01,1.5199486797450534,5.1
2016-05-01,1.5687328193787042,4.8
2016-06-01,1.5524039553270974,4.9
2016-07-01,1.5993318072140106,4.8
2016-08-01,1.6969584569733076,4.9
2016-09-01,1.6852545372237682,5.0
2016-10-01,1.7824083597317797,4.9
2016-11-01,1.7188591624542893,4.7
2016-12-01,1.770093227647962,4.7
2017-01-01,1.863334939067518,4.7
2017-02-01,1.867275108455435,4.6
2017-03-01,1.6786546242183897,4.4
2017-04-01,1.6368213459441172,4.4
2017-05-01,1.545521142810613,4.4
2017-06-01,1.5764438029800987,4.3
2017-07-01,1.5031107592688553,4.3
2017-08-01,1.433593710424197,4.4
2017-09-01,1.4225873687192525,4.3
2017-10-01,1.5410111053849596,4.2
2017-11-01,1.5453764961365524,4.2
2017-12-01,1.5768765133171936,4.1
2018-01-01,1.6320370277204788,4.0
2018-02-01,1.6442181175359671,4.1
2018-03-01,1.909183171052753,4.0
2018-04-01,1.8842192874261698,4.0
2018-05-01,1.9809023776840462,3.8
2018-06-01,1.9362198184856405,4.0
2018-07-01,1.9958004199579937,3.8
2018-08-01,1.8957629996604108,3.8
2018-09-01,1.9602952913008842,3.7
2018-10-01,1.8709073900841755,3.8
2018-11-01,2.0102451882429095,3.8
2018-12-01,2.0380799141860972,3.9
2019-01-01,1.844426623897344,4.0
2019-02-01,1.7441056147354805,3.8
2019-03-01,1.61606799514884,3.8
2019-04-01,1.6367788035668518,3.7
2019-05-01,1.563175476517964,3.6
2019-06-01,1.6569813098790576,3.6
2019-07-01,1.6391192674940713,3.7
2019-08-01,1.745804579673771,3.6
2019-09-01,1.6320140893302693,3.5
2019-10-01,1.6235859562745425,3.6
2019-11-01,1.4977183197472543,3.6
2019-12-01,1.544751058548699,3.6
2020-01-01,1.5913288616700605,3.6
2020-02-01,1.6976972310441596,3.5
2020-03-01,1.5272953094374042,4.4
2020-04-01,0.9954970222243897,14.8
2020-05-01,0.9973783749794407,13.2
2020-06-01,0.9704519119350996,11.0
2020-07-01,1.2143366963097257,10.2
2020-08-01,1.3931038469319867,8.4
2020-09-01,1.4796915464076354,7.8
2020-10-01,1.4217326104510208,6.9
2020-11-01,1.453521884486797,6.7
2020-12-01,1.508790092214496,6.7
2021-01-01,1.6974939477738316,6.4
2021-02-01,1.7094670091967412,6.2
2021-03-01,2.1991360195733556,6.1
2021-04-01,3.1306032044336574,6.1
2021-05-01,3.5411199019175887,5.8
2021-06-01,3.8617128102137466,5.9
2021-07-01,3.92711817566731,5.4
2021-08-01,3.9584580447155737,5.1
2021-09-01,4.013850678303776,4.7
2021-10-01,4.436672448273571,4.5
2021-11-01,4.8908669097107005,4.2
2021-12-01,5.2145501246505965,3.9
2022-01-01,5.35843659732218,4.0
2022-02-01,5.602764293293028,3.8
2022-03-01,5.593221924008485,3.7
2022-04-01,5.345023150300299,3.7
2022-05-01,5.184136763522318,3.6
2022-06-01,5.31569109508947,3.6
2022-07-01,5.107374057840786,3.5
2022-08-01,5.362447330658338,3.6
2022-09-01,5.606479327988612,3.5
2022-10-01,5.459759683450094,3.6
2022-11-01,5.20808883271644,3.6
2022-12-01,4.9668814733705435,3.5
2023-01-01,4.937665213974429,3.5
2023-02-01,4.855603371625716,3.6
2023-03-01,4.783286394955444,3.5
2023-04-01,4.789642299240104,3.4
2023-05-01,4.731625374880166,3.6
2023-06-01,4.383786808421353,3.6
2023-07-01,4.299124123250864,3.5
2023-08-01,3.8282036156702226,3.7
2023-09-01,3.687774208035388,3.8
2023-10-01,3.4740628549791763,3.9
2023-11-01,3.2907438711504255,3.7
2023-12-01,3.1123879882344996,3.8
2024-01-01,3.159014510020852,3.7
2024-02-01,3.059467984974007,3.9
2024-03-01,3.122173857921662,3.9
2024-04-01,3.006720905553606,3.9
2024-05-01,2.7711764063720334,4.0
2024-06-01,2.7531619063573265,4.1
2024-07-01,2.8062163337682744,4.2
2024-08-01,2.873279917118543,4.2
2024-09-01,2.838627996468368,4.1
2024-10-01,2.9865021082658982,4.1
2024-11-01,2.980710120125618,4.2
2024-12-01,2.9885896245190446,4.1
2025-01-01,2.7801380994415092,4.0
2025-02-01,2.9686432938117457,4.1
2025-03-01,2.670294814316976,4.2
2025-04-01,2.614795918367352,4.2
2025-05-01,2.783883382495933,4.2
2025-06-01,2.8073722050588,4.1
2025-07-01,2.858165664586565,4.2
2025-08-01,2.903482554739778,4.3
2025-09-01,2.825069249833967,4.4
